Week,DMA_Name,DMA_ID,TRx,TV_Spend,TV_Impressions,Display_Spend,Display_Impressions,PaidSearch_Spend,PaidSearch_Clicks,HCPCalls_Spend,HCPCalls_Count,Speaker_Spend,Speaker_Events,HCPEmail_Spend,HCPEmail_Sends,HCPSocial_Spend,HCPSocial_Engagements,Copay_Redemptions,Lagged_TRx,DMA_Population,Competitor_Spend,Seasonality
1/1/2023,New York NY,DMA_001,157434,173160,5078591,136327,15502510,113412,28549,0,0,0,0,0,0,57604,8733,39418,141690,7200000,283679,1.312
1/8/2023,New York NY,DMA_001,153820,210433,7069325,92302,8878347,84059,21710,82715.09999999999,377,0,0,29101,36486,0,0,35122,135361,7200000,175451,1.237
1/15/2023,New York NY,DMA_001,187650,173286,5988989,85016,8233909,60076,25382,247705,1342,0,0,31797,44549,49935,7857,37194,165132,7200000,210716,1.226
1/22/2023,New York NY,DMA_001,204157,168753,5113360,109226,11777451,80510,34770,328065,1527,0,0,30828,39005,48440,6370,44141,179658,7200000,126840,1.29
1/29/2023,New York NY,DMA_001,203120,202708,5640716,118574,9757425,113772,28004,260910,1207,0,0,27568,34791,53049,10364,37895,178745,7200000,250063,1.322
2/5/2023,New York NY,DMA_001,195004,182134,4838030,100693,9562808,68505,24931,292942,1377,0,0,31670,42310,52728,9721,49254,171603,7200000,203172,1.272
2/12/2023,New York NY,DMA_001,167437,0,0,88659,9630140,98262,20754,243932,1212,0,0,26065,45636,41047,7304,33464,147344,7200000,45956,1.283
2/19/2023,New York NY,DMA_001,183890,47421.200000000004,1427539,75947,8602036,72638,19242,252693,1233,175871,21,25618,48755,27885,4113,34154,161823,7200000,73635,1.208
2/26/2023,New York NY,DMA_001,152312,37982.200000000004,1003860,126739,12093665,54914,13259,254567,1238,119423,12,21382,37127,0,0,35982,134034,7200000,115695,1.166
3/5/2023,New York NY,DMA_001,155273,34849.8,953250,118490,12991980,57431,11813,253381,1386,150611,18,25745,36015,0,0,30129,136640,7200000,113732,1.163
3/12/2023,New York NY,DMA_001,125979,0,0,77045,8005580,66041,16111,198330,1056,0,0,0,0,35661,5848,32362,110861,7200000,48558,1.108
3/19/2023,New York NY,DMA_001,162323,0,0,127074,10881269,66116,17122,271115,1285,119620,10,25750,42162,42563,8470,39593,142844,7200000,94962,1.168
3/26/2023,New York NY,DMA_001,127199,92110.8,3213193,92827,10889502,38548,15351,188843,1025,161482,19,0,0,31510,4659,29606,111935,7200000,153508,0.888
4/2/2023,New York NY,DMA_001,140479,0,0,67365,7600385,77135,22707,265936,1337,160949,18,26815,40618,0,0,32596,123621,7200000,45136,1.09
4/9/2023,New York NY,DMA_001,125009,116336.4,3436530,69276,7564400,80394,28076,226537,1223,0,0,16499,27169,0,0,25901,110007,7200000,176343,0.954
4/16/2023,New York NY,DMA_001,109707,0,0,0,0,82073,19953,259268,1369,0,0,20400,34279,32677,6310,25652,96542,7200000,0,1.036
4/23/2023,New York NY,DMA_001,145061,124678.79999999999,4239652,87766,9704219,68260,17829,224072,1126,0,0,18069,24355,30940,5361,36203,127653,7200000,109369,1.018
4/30/2023,New York NY,DMA_001,141544,92743.8,3203654,99111,8387099,58721,26272,179854,891,0,0,17802,29822,27539,5029,26376,124558,7200000,144438,1.005
5/7/2023,New York NY,DMA_001,107852,138528,4685943,98993,10266612,0,0,241657,1250,0,0,17571,24316,0,0,20334,94909,7200000,194609,1.1
5/14/2023,New York NY,DMA_001,155904,153852,4854332,110707,11691714,47108,13930,224806,1161,154773,18,0,0,39402,6040,28588,137195,7200000,125865,1.049
